"comuna","team","total_dogs","walked_km","dogs_per_km","dogs_per_km_lcl","dogs_per_km_ucl","encounter_rate","effort_flag","macrozona","idc2","bienestar","economia","educacion","idh2005","pop_total","pct_urban_pop","area_km2","human_density_km2","hogares","vets","n_ong","ong_cat","chip_total","owned_dogs_total","owned_dog_density_km2","human_dog_ratio","dogs_per_urban_dwell","dogs_per_rural_dwell","enc_perro","enc_total","chip_per_dog","vets_per_1000dogs","neutered","always_inside","roam","rm_total","tasab2019","tasa_b_sum","log_km","low_effort"
"PUTAENDO","Municipality",18,0.346955697796192,51.8798224509157,30.7472707557784,81.9924862114204,1,"low-effort","Centro",0.3255,0.8518,0.0656,0.6171,0.674,17768,41.8505177847816,1451.291,12.2,5242,1,0,0,2245,6952,4.79,2.555670089,0.98325847284606,1.17628785917681,85,104,0.322943337977354,0.143850039188131,0.477124183006536,0.656324582338902,0.159904534606205,0,788.436268068331,1493.25050770517,-1.05855817924313,TRUE
"SAN ANTONIO","Municipality",61,1.45365829115809,41.9630943331277,32.0984421475076,53.9033501830828,0.808510638297872,"ok","Centro",0.478,0.907,0.1781,0.6762,0.697,97323,94.7607451476013,398.337,244.3,28410,7,1,1,5349,32111,80.61,3.030785477,0.996330764868742,0.922665569724393,231,334,0.166583901188469,0.218000992394706,0.237410071942446,0.669950738916256,0.108374384236453,17,596.572181938036,1084.37705998682,0.37408333853278,FALSE
"SAN PEDRO DE LA PAZ","Municipality",38,1.06750766125792,35.596934222675,25.190509277946,48.8595733896635,0.875,"ok","Centro sur",0.5493,0.9052,0.2358,0.7766,0.787,148070,99.8493955561559,91.681,1615.1,41613,38,1,1,9593,47982,523.36,3.085961164,1.00925281905364,2.22727272727273,996,1309,0.199928439415481,0.791960877492786,0.330769230769231,0.696682464454976,0.0853080568720379,21,2.27885601428083,3.79809335713472,0.0653266429173009,FALSE
"MULCHEN","University",23,0.687106466962612,33.4737061953042,21.2194583198968,50.2269947296405,0.777777777777778,"low-effort","Centro sur",0.3789,0.7739,0.1176,0.5975,0.639,31078,83.6122015573718,1919.283,16.2,9402,1,1,1,2502,10656,5.55,2.91653956,1.02012121212121,0.927536231884058,62,75,0.234885012169029,0.0938789017462147,0.328089887640449,0.537900874635568,0.199708454810496,22,121.658612415937,297.387719238958,-0.375266025022273,TRUE
"HUALAÑE","Municipality",356,12.9732567288531,27.4410664523612,24.6642420227745,30.4449609833906,0.981132075471698,"ok","Centro sur",0.3058,0.7028,0.0625,0.6512,0.631,10232,61.307662236122,631.602,16.2,3437,1,1,1,1613,3773,5.97,2.712011834,0.839322593969434,0.915833771699106,58,74,0.427776122631602,0.26520528371457,0.309941520467836,0.940366972477064,0.055045871559633,0,10.3584006629376,10.3584006629376,2.5628900638676,FALSE
"EL TABO","University",255,12.2913708296661,20.7462620348691,18.2778254655489,23.455119458074,0.91358024691358,"ok","Centro",0.3464,0.7116,0.0983,0.594,0.747,14587,94.4471104408035,98.999,147.3,4978,0,2,1,2088,4818,48.67,3.02744925,0.228703229113275,0.33648393194707,114,160,0.433349540426275,0,0.532846715328467,0.445528455284553,0.198373983739837,0,342.387582743666,601.08042303888,2.50889745760728,FALSE
"PADRE HURTADO","University",37,1.84018050189764,20.1067232056012,14.1569886977072,27.7144693628363,0.822222222222222,"ok","RM",0.4403,0.8551,0.1419,0.7037,0.728,76219,88.0200474947192,81.034,940.6,18160,9,1,1,7606,25744,317.69,2.96066438,1.1806129102369,1.68527066722619,513,658,0.295451023868043,0.349600212307703,0.337662337662338,0.324074074074074,0.166666666666667,0,215.58898593916,221.929838466782,0.609863665666928,FALSE
"VALPARAISO","University",90,4.78601123543774,18.8048033263274,15.1212825400914,23.1142958818793,0.830985915492958,"ok","Centro",0.5598,0.903,0.2627,0.7397,0.701,317424,99.5910832199204,316.941,1001.5,97636,39,5,1,8025,102956,324.84,3.083111955,0.88559912119089,0.466503267973856,1254,1786,0.0779465890903049,0.378805853522977,0.565891472868217,0.443636363636364,0.163636363636364,0,439.405446457633,735.393837474232,1.56569733704668,FALSE
"PAPUDO","Municipality",44,2.75572550120575,15.9667572044996,11.6014702277697,21.4346262915022,1,"ok","Centro",0.3601,0.9009,0.0847,0.6118,0.734,6270,92.3604465709729,166.488,37.7,1935,0,0,0,811,2086,12.53,3.005438406,0.348375116063138,0.491841491841492,33,41,0.38876472066483,0,0.366255144032922,0.587896253602305,0.141210374639769,0,15.748031496063,47.244094488189,1.01368074775763,FALSE
"NUEVA IMPERIAL","Municipality",111,8.15305963742059,13.6145207978777,11.1998846974054,16.3953948989862,0.916666666666667,"ok","Sur",0.311,0.6756,0.0674,0.6605,0.629,33898,60.8059472535253,729.194,46.5,10310,1,1,1,1634,12519,17.17,2.707740582,1.03343653250774,1.03379334748762,47,62,0.130508461653489,0.0798705395676185,0.281914893617021,0.554421768707483,0.168367346938776,0,596.046942557134,982.087708462014,2.09839327243638,FALSE
"SAN VICENTE","University",127,9.42759843873913,13.4710871305402,11.230238383497,16.028037896713,0.933333333333333,"ok","Centro sur",0.4343,0.8882,0.1327,0.6949,0.694,51100,56.293542074364,484.232,105.5,15276,6,3,1,1842,19139,39.52,2.669921317,0.98457148895699,1.21256634983335,143,178,0.096254092544257,0.313531246072498,0.398601398601399,0.518248175182482,0.194647201946472,0,510.444816196972,866.469351863767,2.24364139175475,FALSE
