"predictor","transform","RR","lwr","upr","p","n","p_fdr","sig","fdr_sig","RR_fmt"
"economia","none",0.710609211256917,0.551249382025361,0.942170727860944,0.00466237858464892,25,0.125884221785521,"**","","0.71 (0.55–0.94)"
"n_ong","log1p",0.742857646949769,0.573559142682089,0.964751528765848,0.0122034200010582,25,0.128200009999544,"*","","0.74 (0.57–0.96)"
"always_inside","none",1.31389518765074,1.05096605949335,1.65945265955243,0.0143963339611679,25,0.128200009999544,"*","","1.31 (1.05–1.66)"
"idh2005","none",0.762098918847726,0.596640871320205,0.982862394182953,0.0189925940740065,25,0.128200009999544,"*","","0.76 (0.60–0.98)"
"idc2","none",0.79043304923331,0.599134867476901,1.05448371943588,0.0511251521526744,25,0.276075821624442,"†","","0.79 (0.60–1.05)"
"neutered","none",0.82446311629317,0.656280984933217,1.04470432621396,0.0984861110033643,25,0.443187499515139,"†","","0.82 (0.66–1.04)"
"rm_total","log1p",1.18689576822167,0.933070665711319,1.53961291190234,0.148287792465226,25,0.502335418363191,"","","1.19 (0.93–1.54)"
"educacion","none",0.839733906311182,0.638335274809922,1.10391339324114,0.148840123959464,25,0.502335418363191,"","","0.84 (0.64–1.10)"
"vets","log1p",0.893582241073486,0.694389622407758,1.15312526088559,0.359225289279799,25,0.772535340474384,"","","0.89 (0.69–1.15)"
"enc_perro","log",0.896606437723238,0.673487868768877,1.18744771156324,0.372750635137224,25,0.772535340474384,"","","0.90 (0.67–1.19)"
"owned_dog_density_km2","log",0.899203631961927,0.681923645150534,1.18096412113055,0.385240544378804,25,0.772535340474384,"","","0.90 (0.68–1.18)"
"enc_total","log",0.901119144407226,0.677250053410145,1.19225392132612,0.395598404804784,25,0.772535340474384,"","","0.90 (0.68–1.19)"
"human_density_km2","log",0.903471976289136,0.683367580227686,1.18697440799703,0.406943390303207,25,0.772535340474384,"","","0.90 (0.68–1.19)"
"owned_dogs_total","log",0.908124407567614,0.693074834831448,1.18263097320569,0.430989515302011,25,0.772535340474384,"","","0.91 (0.69–1.18)"
"pop_total","log",0.909966593530282,0.694377888435052,1.18514116571643,0.441155627815033,25,0.772535340474384,"","","0.91 (0.69–1.19)"
"hogares","log",0.914841971759195,0.693353054904357,1.1958005166937,0.467992700297417,25,0.772535340474384,"","","0.91 (0.69–1.20)"
"dogs_per_rural_dwell","none",1.0836679583065,0.880410232384113,1.34577919420415,0.492387403360207,22,0.772535340474384,"","","1.08 (0.88–1.35)"
"dogs_per_urban_dwell","none",1.0836641141016,0.831488508576143,1.3673716612316,0.521321053994924,24,0.772535340474384,"","","1.08 (0.83–1.37)"
"area_km2","log",1.07691970746008,0.81605559685905,1.41736236262694,0.543635980333826,25,0.772535340474384,"","","1.08 (0.82–1.42)"
"chip_per_dog","log1p",1.06059388224403,0.820663535226394,1.38356064409243,0.627957673958474,25,0.822684858788474,"","","1.06 (0.82–1.38)"
"chip_total","log",0.955796418611907,0.708615772753183,1.26282180803736,0.712613914104332,25,0.822684858788474,"","","0.96 (0.71–1.26)"
"vets_per_1000dogs","log1p",0.95753420795897,0.754356472528197,1.22505638916714,0.724813559191251,25,0.822684858788474,"","","0.96 (0.75–1.23)"
"tasab2019","log1p",0.958131006929767,0.74662715796889,1.20941765832837,0.727490968433108,25,0.822684858788474,"","","0.96 (0.75–1.21)"
"human_dog_ratio","none",0.96337843545237,0.736843513829541,1.24000344095242,0.763047913088274,25,0.822684858788474,"","","0.96 (0.74–1.24)"
"roam","none",1.02944283288756,0.793656388010243,1.33543896885966,0.81226829719501,25,0.822684858788474,"","","1.03 (0.79–1.34)"
"bienestar","none",0.972240203663995,0.721064253177178,1.26511964728782,0.816811881272748,25,0.822684858788474,"","","0.97 (0.72–1.27)"
"pct_urban_pop","none",0.972678039006173,0.739592556299856,1.25230402186352,0.822684858788474,25,0.822684858788474,"","","0.97 (0.74–1.25)"
