"variable","PC1","PC2","PC3","PC4","PC5","contrib_PC1","contrib_PC2","contrib_PC3","contrib_PC4","contrib_PC5"
"IDC2",0.962052990151059,-0.190990510902488,0.0442793974848343,-0.0374423865575063,0.0716546228588375,12.8637269742619,2.57896232348406,0.145587287031096,0.162372214772756,0.976057257458134
"Vet centres",0.919838086447914,-0.114995147106523,-0.136214599712745,-0.14842627912789,0.151887700642902,11.7595743418008,0.934932900238233,1.37774030831165,2.55156284763527,4.38563093009895
"IDC2–Education",0.898605416283484,-0.0101879379183456,-0.101948703210452,-0.236378394797893,0.149764073218815,11.2229464372763,0.00733827522798338,0.771762121788802,6.47142954702362,4.26385230273022
"Households",0.892624515804337,0.191388046995058,-0.194638776927422,-0.160412086220657,0.24158133462511,11.074049165582,2.58970942898438,2.81305861471788,2.98029218031926,11.0946503111317
"IDC2–Economy",0.881880976021421,-0.267534520197221,0.157292449221593,-0.0100733483770491,0.157191021616041,10.8090810784837,5.06035600444831,1.83711269197923,0.0117525572919468,4.6972355492263
"Human:dog ratio",0.831255971225956,0.40853263015376,-0.109067036191016,0.140864393294276,-0.3205570289684,9.60369551627876,11.799807345157,0.88329764199753,2.29819633343607,19.5342829669931
"% Urban",0.810643636105379,0.460333353339931,-0.131818025743696,0.122909693314,-0.299952465179877,9.13332226143849,14.9818795805749,1.29023747967763,1.74967319824513,17.1037656400246
"Human density/km²",0.809609909229439,0.291050780988951,-0.234763748481987,0.31696616423639,0.127811825805934,9.11004362088485,5.98906400674648,4.09243809097029,11.6361812610102,3.10548148016605
"IDH 2005",0.697386141711218,-0.505208764440565,0.311224896626348,-0.035129461813816,-0.339548353082773,6.75951369343165,18.0452610400155,7.19231517519057,0.142931404765125,21.917454954271
"Always indoors",-0.498979726184118,-0.169834971429934,-0.68679565964048,0.421852324928115,0.100220410580711,3.4604663227077,2.03927437288818,35.0247570469026,20.6113084762474,1.90941012515964
"Neutering rate",0.401387918138838,-0.133599049676857,0.576949615762248,0.659991861031428,0.158399846163924,2.23922337121846,1.26190933880805,24.7170038142493,50.4500764899778,4.76975834940349
"Roams unsupervised",-0.375946304557252,0.700690155937406,0.51709641695441,-0.0898117288830422,0.181210377179342,1.96435721663533,34.7115053834269,19.8546897271835,0.93422348927547,6.24242013333669
