"comuna","n_records","n_dog_obs","walked_km","mean_IDD_m","median_IDD_m","pct_IDD_lt50m","expected_IDD_m","aggregation_ratio"
"ARICA",44,44,5.01570887717088,116.644392492346,75.1966261312605,39.5348837209302,113.993383572065,1.02325581395349
"EL QUISCO",149,48,19.1598088079203,238.458736490821,172.8310963113,2.94117647058824,399.16268349834,0.597397367912558
"EL TABO",162,148,12.2913708296661,83.6147675487493,40.4409249792498,51.0204081632653,83.0498029031497,1.00680272108844
"HUALAÑE",159,156,12.9732567288531,83.6984305087297,46.3232770504296,53.5483870967742,83.1619021080327,1.00645161290323
"ILLAPEL",58,40,7.43777982432511,133.719194988688,120.661327502135,20,185.944495608128,0.719135000750422
"IQUIQUE",18,18,2.1617162715996,127.15978068233,105.65782579154,23.5294117647059,120.0953484222,1.05882352941176
"LAS CONDES",26,9,3.04825625983123,193.265750946723,215.682646077224,28.5714285714286,338.695139981248,0.57061861282516
"LONCOCHE",166,146,16.3003144060622,106.064072201509,81.9528901542271,30.7692307692308,111.645989082618,0.950003426661587
"LONQUIMAY",44,35,4.24598064496089,124.88178367532,92.7089755022621,38.2352941176471,121.313732713168,1.02941176470588
"LOS ANDES",44,43,4.31261849080832,102.681392638293,43.8331277403131,54.7619047619048,100.293453274612,1.02380952380952
"MULCHEN",9,7,0.687106466962612,114.517744493769,0,66.6666666666667,98.1580667089446,1.16666666666667
"NUEVA IMPERIAL",48,44,8.15305963742059,189.606038079549,196.65743497428,20.9302325581395,185.296809941377,1.02325581395349
"PADRE HURTADO",45,37,1.84018050189764,44.979191987091,2.85845745741881,83.3333333333333,49.7346081593956,0.904384163296032
"PAPUDO",25,25,2.75572550120575,114.821895883573,81.8252455977089,29.1666666666667,110.22902004823,1.04166666666667
"PUTAENDO",9,9,0.346955697796192,43.369462224524,0,75,38.5506330884657,1.125
"QUILLOTA",39,29,4.82856460134744,163.817207207646,125.476639636099,21.4285714285714,166.502227632671,0.983873966954073
"QUINTA NORMAL",115,86,12.0727467763492,128.24940629161,96.5318679796419,38.5542168674699,140.380776469177,0.913582397229222
"SAN ANTONIO",47,38,1.75156083209146,46.5325415955125,29.0584323552459,70.2702702702703,46.09370610767,1.00952050778511
"SAN JAVIER",70,70,8.91048218909021,129.137423030293,95.6447932855463,39.1304347826087,127.292602701289,1.01449275362319
"SAN PEDRO DE LA PAZ",24,21,1.06750766125792,53.3753830628962,42.4876075083178,60,50.8336981551393,1.05
"SAN VICENTE",90,84,9.42759843873913,113.585523358303,95.6874983740254,27.710843373494,112.233314746894,1.01204819277108
"SIERRA GORDA",33,31,4.28506347771246,142.835449257082,102.892186157206,30,138.227854119757,1.03333333333333
"VALPARAISO",71,59,4.78601123543774,82.5174350937541,43.4032420530598,51.7241379310345,81.1188344989447,1.01724137931034
"VIÑA DEL MAR",10,4,0.845380799616614,168.146340220868,137.021410197358,0,211.345199904153,0.795600469266033
"YERBAS BUENAS",29,27,3.09759187023998,119.138148855384,82.4306276424585,30.7692307692308,114.725624823703,1.03846153846154
